feature_id	component_id	mz
1	-1	340.87091064453125
10	6	219.00997924804688
100	1	265.143310546875
101	1	235.16921997070312
102	1	217.15867614746097
103	17	357.13323974609375
104	-1	456.2381896972656
105	-1	293.0784606933594
106	1	221.15359497070312
107	1	238.17996215820312
108	9	271.0964660644531
109	-1	329.1018371582031
11	-1	140.01031494140625
110	-1	158.15396118164062
111	1	315.1226806640625
112	9	297.1121826171875
113	1	173.05966186523438
114	6	394.0962219238281
115	1	483.2378234863281
116	-1	359.08673095703125
117	6	431.08392333984375
118	1	249.14849853515625
119	1	231.1379241943359
12	-1	143.99026489257812
120	48	423.1802673339844
121	-1	301.1070861816406
122	44	308.12811279296875
123	1	287.127685546875
124	-1	215.10659790039065
125	1	251.1641082763672
126	40	363.10736083984375
127	-1	233.1535797119141
128	1	205.1586151123047
129	1	219.1742706298828
13	23	373.887451171875
130	1	223.1691436767578
131	1	524.3010864257812
132	44	352.11767578125
133	-1	351.08404541015625
134	17	357.1332702636719
135	2	379.11529541015625
136	-1	456.2381286621094
137	1	248.16439819335935
138	1	409.1648254394531
139	5	589.278076171875
14	32	129.48988342285156
140	12	274.27410888671875
141	12	274.2740478515625
142	1	467.2427978515625
143	1	237.1848297119141
144	1	219.17428588867188
145	1	238.1882171630859
146	1	263.1640930175781
147	1	368.1492614746094
148	1	217.15863037109375
149	1	308.1281433105469
15	-1	106.99988555908205
150	1	393.16986083984375
151	1	398.1598815917969
152	2	497.2634887695313
153	1	531.2745971679688
154	2	606.3790893554688
155	-1	288.2897033691406
156	21	507.2743225097656
157	21	489.2637939453125
158	5	529.2566528320312
159	1	249.1485137939453
16	13	162.97354125976562
160	-1	231.13790893554688
161	4	299.12762451171875
162	2	321.1097106933594
163	1	221.1899871826172
164	38	297.11199951171875
165	1	201.1637725830078
166	1	568.3275756835938
167	2	514.3159790039062
168	25	415.21136474609375
169	25	460.2694091796875
17	-1	146.0068359375
170	25	432.2381286621094
171	42	249.1848602294922
172	42	231.17431640625
173	1	759.3173217773438
174	4	299.1277160644531
175	1	449.2323303222656
176	17	277.1797180175781
177	1	761.3325805664062
178	1	551.3001708984375
179	5	573.2825317382812
18	32	129.4899139404297
180	1	547.2693481445312
181	-1	249.18490600585935
182	1	489.2637939453125
183	19	247.1692352294922
184	1	595.2689819335938
185	1	568.3273315429688
186	2	219.1742401123047
187	45	765.3273315429688
188	45	453.22705078125
189	26	597.2849731445312
19	13	273.9626159667969
190	26	598.288818359375
191	19	235.16928100585935
192	2	648.3895874023438
193	5	571.2672729492188
194	-1	702.3143920898438
195	1	800.4163208007812
196	-1	723.2933959960938
197	1	701.310791015625
198	1	323.2369079589844
199	-1	221.1900177001953
2	6	308.90374755859375
20	13	301.9574890136719
200	-1	596.3983764648438
201	43	219.17430114746097
202	4	703.3265991210938
203	2	802.4319458007812
204	1	531.27490234375
205	-1	367.2267761230469
206	-1	568.3274536132812
207	1	533.289794921875
208	2	632.39453125
209	1	578.3444213867188
21	6	245.96771240234375
210	-1	580.3624877929688
211	1	736.3485107421875
212	1	577.2586059570312
213	5	555.2717895507812
214	5	1089.5703125
215	1	535.3051147460938
216	5	557.287353515625
217	2	634.4097290039062
218	1	351.2319641113281
219	-1	419.2429504394531
22	13	162.97352600097656
220	5	1091.585205078125
221	1	745.3372802734375
222	1	491.2796325683594
223	1	701.3112182617188
224	2	550.3529663085938
225	4	614.3119506835938
226	1	433.2374572753906
227	1	994.6702880859376
228	1	1093.776123046875
229	1	515.2794189453125
23	-1	223.9435882568359
230	-1	1040.7325439453125
231	1	1107.7918701171875
232	2	1016.65283203125
233	1	1011.6979370117188
234	-1	279.23187255859375
235	7	435.2892456054687
236	1	1157.7705078125
237	1	1058.6663818359375
238	2	1080.647705078125
239	1	780.37451171875
24	-1	105.03680419921876
240	1	1107.79150390625
241	4	749.359619140625
242	1	1008.6869506835938
243	2	1030.668701171875
244	1	503.27935791015625
245	2	616.3997802734375
246	-1	553.2803344726562
247	7	451.2844543457031
248	2	578.3846435546875
249	4	720.3539428710938
25	33	121.06804656982422
250	3	556.4420776367188
251	-1	184.9856109619141
252	3	512.4158325195312
253	3	424.3631896972656
254	3	600.468017578125
255	1	479.2794189453125
256	3	512.4159545898438
257	3	468.3894653320313
258	3	468.3896179199219
259	1	481.2947692871094
26	-1	316.21185302734375
260	2	580.3993530273438
261	1	463.2843322753906
262	24	566.3837890625
263	3	526.431884765625
264	1	433.2381286621094
265	3	482.4054260253906
266	24	604.4000854492188
267	1	519.31005859375
268	1	517.2947387695312
269	4	703.3265991210938
27	22	328.15435791015625
