feature_id	msms_score	reference_id	short_inchikey	libname	component_id	mz
118	0.7235488011061868	10928	RH65_2_S01_F9	PublicSpecLibrary	1	249.14849853515625
118	0.6871968167028221	22631	Naphtho[2,3-b]furan-2(4H)-one, 4a,5,6,7,8,8a,9,9a-octahydro-9,9a-dihydroxy-3,4a,5-trimethyl-, (4aR,5S)-	PublicSpecLibrary	1	249.14849853515625
118	0.7374429100452412	407651	(2S)-6-(2-hydroxyethyl)-2-(hydroxymethyl)-2,5,7-trimethyl-3H-inden-1-one	PublicSpecLibrary	1	249.14849853515625
118	0.9127218703323554	407657	(2S)-6-(2-hydroxyethyl)-2-(hydroxymethyl)-2,5,7-trimethyl-3H-inden-1-one	PublicSpecLibrary	1	249.14849853515625
118	0.8330922255762202	408064	(2S)-6-(2-hydroxyethyl)-2-(hydroxymethyl)-2,5,7-trimethyl-3H-inden-1-one	PublicSpecLibrary	1	249.14849853515625
118	0.9435087705991178	415797	FIO00816 Hypnophilin	PublicSpecLibrary	1	249.14849853515625
118	0.9393869766139932	437481	Hydroxyvalerenic Acid	PublicSpecLibrary	1	249.14849853515625
118	0.7450389753431141	437482	Hydroxyvalerenic Acid	PublicSpecLibrary	1	249.14849853515625
118	0.8471925234017196	443769	2-[(3S)-3-hydroxy-4a,8-dimethyl-2,3,4,5,6,7-hexahydro-1H-naphthalen-2-yl]prop-2-enoic acid	PublicSpecLibrary	1	249.14849853515625
118	0.9422918176499732	445800	2-[(2S,4aR,8aS)-2-hydroxy-4a-methyl-8-methylidene-3,4,5,6,7,8a-hexahydro-1H-naphthalen-2-yl]prop-2-enoic acid	PublicSpecLibrary	1	249.14849853515625
118	0.6529732931199783	446595	2-[(1S,2S,4aR,8aS)-1-hydroxy-4a-methyl-8-methylidene-1,2,3,4,5,6,7,8a-octahydronaphthalen-2-yl]prop-2-enoic acid	PublicSpecLibrary	1	249.14849853515625
118	0.8394900453916361	462556	Pechueloic Acid	PublicSpecLibrary	1	249.14849853515625
109	0.6972621462718349	16064	"6-Methyl-5,7a,13,13b-tetraaza-pentaphene-8,14-dione"""	PublicSpecLibrary	-1	329.1018371582031
109	0.7366523602988073	98251	"""3-Hydroxy-7,2',4'-trimethoxyflavone CollisionEnergy:102040"""	PublicSpecLibrary	-1	329.1018371582031
109	0.6556348714927623	109829	"""3-Hydroxy-6,2',4'-trimethoxyflavone CollisionEnergy:205060"""	PublicSpecLibrary	-1	329.1018371582031
109	0.6787256024879406	110162	"""3-Hydroxy-6,2',3'-trimethoxyflavone CollisionEnergy:205060"""	PublicSpecLibrary	-1	329.1018371582031
149	0.9498488237548254	121986	N-acetylanonaine	PublicSpecLibrary	1	308.1281433105469
201	0.8404173728688424	7028	1-methyl-4-(6-methylhept-5-en-2-yl)-2,3-dioxabicyclo[2.2.2]oct-5-ene	PublicSpecLibrary	29	219.17430114746097
201	0.7196302842217053	23449	2(1H)-Naphthalenone, 4a,5,6,7,8,8a-hexahydro-6-hydroxy-3,8-dimethyl-5-(1-methylethyl)-, (4aR,5S,6S,8R,8aS)-	PublicSpecLibrary	29	219.17430114746097
201	0.7906806497803989	33554	Curcumol	PublicSpecLibrary	29	219.17430114746097
201	0.8069064195538216	34379	2,6-Di-tert-butyl-4-hydroxymethylphenol	PublicSpecLibrary	29	219.17430114746097
201	0.8769883226381319	34628	Curcumol	PublicSpecLibrary	29	219.17430114746097
201	0.943870835564851	37011	2,6-Di-tert-butyl-4-hydroxymethylphenol	PublicSpecLibrary	29	219.17430114746097
201	0.944151951619177	37032	2,6-Di-tert-butyl-4-hydroxymethylphenol	PublicSpecLibrary	29	219.17430114746097
201	0.9782793664045804	102037	"""(+)-Nootkatone, crystalline, 98+% CollisionEnergy:102040"""	PublicSpecLibrary	29	219.17430114746097
201	0.9056151584820163	108439	Zerumbone CollisionEnergy:102040	PublicSpecLibrary	29	219.17430114746097
201	0.8268865589208644	113371	"""(+)-Nootkatone, crystalline, 98+% CollisionEnergy:205060"""	PublicSpecLibrary	29	219.17430114746097
201	0.6964888368736712	119764	Zerumbone CollisionEnergy:205060	PublicSpecLibrary	29	219.17430114746097
