id	molecularFormula	adduct	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
183_20230404_LFX_OK_226_VGF136_C08_1_neg_183	C17H26N6O4	[M - H]-	Amino acids and Peptides	0.5824811458587646	Small peptides	0.5508435368537903	Tripeptides	0.5037973523139954	N-acyl-alpha amino acids and derivatives	0.6140040159225464	Amino acids and derivatives	0.8560606837272644	Amino acids, peptides, and analogues	0.8787580132484436	Carboxylic acids and derivatives	0.9934602975845337	Organic acids and derivatives	0.999671459197998	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Diazines; Secondary carboxylic acid amides; Carbonyl compounds; Alpha amino acid amides; Imidolactams; Fatty Acyls; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
93_20230404_LFX_OK_226_VGF136_C08_1_neg_93	C16H32N4O5	[M + Cl]-	Carbohydrates	0.4596251845359802	Small peptides	0.18297095596790314	Tripeptides	0.17345598340034485	Amino acids and derivatives	0.5794452428817749	Amino acids and derivatives	0.5794452428817749	Amino acids, peptides, and analogues	0.5811426639556885	Carboxylic acids and derivatives	0.9238142967224121	Organic acids and derivatives	0.9904054999351501	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Diazines; Secondary alcohols; Secondary carboxylic acid amides; Carbonyl compounds; Polyols; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
133_20230404_LFX_OK_226_VGF136_C08_1_neg_133	C18H28O5	[M - H]-	Fatty acids	0.4580899775028229	Fatty acyls	0.2789080739021301	Open-chain polyketides	0.19706317782402039	Medium-chain fatty acids	0.6071594953536987	Medium-chain fatty acids	0.6071594953536987	Fatty acids and conjugates	0.8024117946624756	Fatty Acyls	0.7868255376815796	Lipids and lipid-like molecules	0.7979560494422913	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Branched fatty acids; Unsaturated fatty acids; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Carboxylic acid esters; Secondary alcohols; Carbonyl compounds; Medium-chain fatty acids; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
147_20230404_LFX_OK_226_VGF136_C08_1_neg_147	C28H23NO4	[M - H]-	Alkaloids	0.5638760328292847	Tryptophan alkaloids	0.5252830386161804	Carbazole alkaloids	0.2169632464647293	Indoles	0.5581828355789185			Indoles	0.5581828355789185	Indoles and derivatives	0.581640362739563	Organoheterocyclic compounds	0.9439982175827026	Organic compounds; Organoheterocyclic compounds; Pyrroles; Ketones; Indoles and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Indoles; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
38_20230404_LFX_OK_226_VGF136_C08_1_neg_38	C9H16O4	[M - H]-	Fatty acids	0.8443161845207214	Fatty Acids and Conjugates	0.9472248554229736	Dicarboxylic acids	0.9268349409103394	Medium-chain fatty acids	0.8638824820518494	Medium-chain fatty acids	0.8638824820518494	Fatty acids and conjugates	0.9139041900634766	Fatty Acyls	0.9170342087745667	Lipids and lipid-like molecules	0.9390739798545837	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Branched fatty acids; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Medium-chain fatty acids; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
52_20230404_LFX_OK_226_VGF136_C08_1_neg_52	C18H34O9	[M - H4O2 - H]-	Fatty acids	0.730129599571228	Fatty Acids and Conjugates	0.7290485501289368	Hydroxy fatty acids	0.8534632325172424	Long-chain fatty acids	0.8329859375953674	Long-chain fatty acids	0.8329859375953674	Fatty acids and conjugates	0.9766934514045715	Fatty Acyls	0.96073979139328	Lipids and lipid-like molecules	0.9618496298789978	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Medium-chain hydroxy acids and derivatives; Organooxygen compounds; Branched fatty acids; Unsaturated fatty acids; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Hydroxy acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Polyols; Long-chain fatty acids; Medium-chain fatty acids; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
42_20230404_LFX_OK_226_VGF136_C08_1_neg_42	C26H36O14	[M - H]-	Terpenoids	0.6594823002815247	Monoterpenoids	0.7631452679634094	Secoiridoid monoterpenoids	0.6002034544944763	Iridoid O-glycosides	0.523128092288971	Iridoid O-glycosides	0.523128092288971	Terpene glycosides	0.7128496170043945	Prenol lipids	0.6357770562171936	Lipids and lipid-like molecules	0.8577134013175964	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Aromatic monoterpenoids; Alcohols and polyols; Phenols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Hexoses; Monosaccharides; Monoterpenoids; Bicyclic monoterpenoids; Iridoids and derivatives; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Terpene glycosides; Glycosyl compounds; O-glycosyl compounds; Benzene and substituted derivatives; Polyols; Benzenoids; Methyl esters; Enoate esters; Alpha,beta-unsaturated carboxylic esters; Vinylogous esters; Organic oxides; Iridoid O-glycosides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; 1-hydroxy-2-unsubstituted benzenoids; Chemical entities
61_20230404_LFX_OK_226_VGF136_C08_1_neg_61	C29H44O16	[M - H4O2 - H]-	Terpenoids	0.7991687059402466	Diterpenoids	0.4769987165927887	Kaurane and Phyllocladane diterpenoids	0.2586028575897217	Kaurane diterpenoids	0.5161884427070618	Kaurane diterpenoids	0.5161884427070618	Diterpenoids	0.544133722782135	Prenol lipids	0.6414377689361572	Lipids and lipid-like molecules	0.8662554621696472	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Lactones; Alcohols and polyols; Ethers; Prenol lipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Cyclic alcohols and derivatives; Hexoses; Monosaccharides; Diterpenoids; Acetals; Secondary alcohols; Tertiary alcohols; Carbonyl compounds; Oxanes; Terpene glycosides; Glycosyl compounds; O-glycosyl compounds; Polyols; Kaurane diterpenoids; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
207_20230404_LFX_OK_226_VGF136_C08_1_neg_207	C36H62O10	[M - H]-	Terpenoids	0.9305223822593689	Triterpenoids	0.9522375464439392	Dammarane and Protostane triterpenoids	0.9649947881698608	Triterpene saponins	0.8157393932342529	Triterpene glycosides	0.8166601657867432	Terpene glycosides	0.7332674860954285	Prenol lipids	0.9907844066619873	Lipids and lipid-like molecules	0.9929131865501404	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Steroids and steroid derivatives; Prenol lipids; Primary alcohols; Organooxygen compounds; Steroidal glycosides; Cyclic alcohols and derivatives; Hydroxysteroids; Monosaccharides; Triterpenoids; Triterpene glycosides; Acetals; Secondary alcohols; Tertiary alcohols; Oxanes; Terpene glycosides; Glycosyl compounds; O-glycosyl compounds; Polyols; Triterpene saponins; 3-hydroxysteroids; 12-hydroxysteroids; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
83_20230404_LFX_OK_226_VGF136_C08_1_neg_83	C18H32O7	[M - H2O - H]-	Fatty acids	0.6780460476875305	Fatty Acids and Conjugates	0.8272908926010132	Hydroxy fatty acids	0.9048985838890076	Long-chain fatty acids	0.657019317150116	Long-chain fatty acids	0.657019317150116	Fatty acids and conjugates	0.968582272529602	Fatty Acyls	0.9705027937889099	Lipids and lipid-like molecules	0.9742318987846375	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Medium-chain hydroxy acids and derivatives; Organooxygen compounds; Branched fatty acids; Unsaturated fatty acids; Hydroxy fatty acids; Dicarboxylic acids and derivatives; Hydroxy acids and derivatives; Carboxylic acid derivatives; Carboxylic acids; Secondary alcohols; Beta hydroxy acids and derivatives; Carbonyl compounds; Long-chain fatty acids; Medium-chain fatty acids; Methyl-branched fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
