rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	1	1	1	0.6541822608750126	-138.13759089263385	0.8778894472361808	52.050479327841124	C27H44O15	[M + CH2O2 - H]-	BQSALWKNICBNHF	InChI=1S/C27H44O15/c1-11(2)5-17(31)41-25-18-12(6-28)3-4-14(18)13(9-37-25)10-38-26-23(36)21(34)24(16(8-30)40-26)42-27-22(35)20(33)19(32)15(7-29)39-27/h9,11-12,14-16,18-30,32-36H,3-8,10H2,1-2H3	null	CC(C)CC(=O)OC1C2C(CCC2C(=CO1)COC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)CO)O)O)O)O)O)CO	-1.70560384	""	COCONUT:(CNP0236917);KNApSAcK:(10654);Natural Products:(UNPD109019);SuperNatural:(SN00319720);2304_LOTUS_DNP:(Iridoids monoterpenoids)	3178512	653.2667846679688	203.795	144_20230404_LFX_OK_226_VGF136_C08_1_neg_144
2	1	3	3	0.5415559514292217	-101.45141137062434	0.9999999999999999	13.175791971174458	C25H36O12	[M + CH2O2 - H]-	SQGCICPYNODIOK	InChI=1S/C25H36O12/c1-3-13-14(4-5-26)16(23(32)35-17-6-12-7-19(28)33-9-15(12)11(17)2)10-34-24(13)37-25-22(31)21(30)20(29)18(8-27)36-25/h3,10-15,17-18,20-22,24-27,29-31H,1,4-9H2,2H3	null	CC1C(CC2C1COC(=O)C2)OC(=O)C3=COC(C(C3CCO)C=C)OC4C(C(C(C(O4)CO)O)O)O	0.012896331	""	COCONUT:(CNP0364002);KNApSAcK:(10741);Natural Products:(UNPD78721 UNPD69842 UNPD142607);SuperNatural:(SN00337363 SN00320938 SN00340981);2304_LOTUS_DNP:(Iridoids monoterpenoids)	3178512	573.218994140625	105.735	35_20230404_LFX_OK_226_VGF136_C08_1_neg_35
3	1	3	3	N/A	-285.05822237721645	0.9999999999999999	13.175791971174467	C26H40O15	[M - H2O - H]-	PMMBXECRRAJBAJ	InChI=1S/C26H40O15/c1-9-17(29)19(31)21(33)24(37-9)39-13-7-26(3,41-10(2)28)16-12(6-5-11(15(13)16)23(35)36-4)38-25-22(34)20(32)18(30)14(8-27)40-25/h5,9,12-22,24-25,27,29-34H,6-8H2,1-4H3	null	CC1C(C(C(C(O1)OC2CC(C3C2C(=CCC3OC4C(C(C(C(O4)CO)O)O)O)C(=O)OC)(C)OC(=O)C)O)O)O	-2.16920233	""	COCONUT:(CNP0118393);Natural Products:(UNPD22686);SuperNatural:(SN00340610);2304_LOTUS_DNP:(Iridoids monoterpenoids)	3178496	573.218994140625	105.735	35_20230404_LFX_OK_226_VGF136_C08_1_neg_35
4	1	3	3	N/A	-466.92765830930523	0.9999999999999999	13.175791971174458	C26H38O14	[M - H]-	GLBAPTKVDVXEGQ	InChI=1S/C26H38O14/c1-8-4-10(38-22-15(30)14(29)13(28)11(6-27)39-22)18(32)23(2)9(8)5-12-25-7-37-24(3,19(33)16(31)17(23)25)26(25,36)20(34)21(35)40-12/h4,9-20,22,27-34,36H,5-7H2,1-3H3	null	CC1=CC(C(C2(C1CC3C45C2C(C(C(C4(C(C(=O)O3)O)O)(OC5)C)O)O)C)O)OC6C(C(C(C(O6)CO)O)O)O	-4.4000001	76307878;101273517	COCONUT:(CNP0224616);KNApSAcK:(35897);Natural Products:(UNPD66284);PubChem:(76307878 101273517);PubMed;2304_LOTUS_DNP:(Quassinoids)	2130002	573.218994140625	105.735	35_20230404_LFX_OK_226_VGF136_C08_1_neg_35
5	1	1	1	0.49590036953876143	-374.9528036733133	0.9999999999999999	27.112368352353226	C37H32N6O6	[M - H]-	RZKUQCQTSZQOEF	InChI=1S/C37H32N6O6/c1-40-29-13-7-3-9-24(29)32(45)42(35(40)48)19-17-31(44)23-16-15-22(21-27(23)38)37(26-11-5-6-12-28(26)39-34(37)47)18-20-43-33(46)25-10-4-8-14-30(25)41(2)36(43)49/h3-16,21H,17-20,38H2,1-2H3,(H,39,47)	null	Cn1c(=O)n(CCC(=O)c2ccc(C3(CCn4c(=O)c5ccccc5n(C)c4=O)C(=O)Nc4ccccc43)cc2N)c(=O)c2ccccc21	3.87754491372754	""	""	0	655.23046875	125.667	56_20230404_LFX_OK_226_VGF136_C08_1_neg_56
6	1	1	1	0.48068495653381593	-3.3042138956837594	0.9999999999999999	42.257431227888226	C10H18O4	[M - H]-	CXMXRPHRNRROMY	InChI=1S/C10H18O4/c11-9(12)7-5-3-1-2-4-6-8-10(13)14/h1-8H2,(H,11,12)(H,13,14)	sebacate	C(CCCCC(=O)O)CCCC(=O)O	2.16291595	5192;1549016;10465569;23079045;56933548;71309007;90755858;102601074	HMDB:(792);PubChem class - food;SuperNatural:(SN00307005 SN00002170);ZINC bio:(ZINC01531045);additional;MeSH:(5192);PubMed;2304_LOTUS_DNP:(sebacic acid);NORMAN:(NS00011501);COCONUT:(CNP0082571 CNP0311812);KNApSAcK:(1202);Natural Products:(UNPD70014);PubChem:(5192 1549016 10465569 23079045 56933548 71309007 90755858 102601074);CHEBI:(41865 76283);PubChem class - bio and metabolites;KEGG:(C08277);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-3623)	222095742	201.11312866210938	129.224	59_20230404_LFX_OK_226_VGF136_C08_1_neg_59
7	1	1	1	0.47336729187757	-358.64618096566215	0.9999999999999999	26.727680233339733	C28H40O16	[M - H]-	NFRJFKDENDWENB	InChI=1S/C28H40O16/c1-6-7-21(34)44-26-22-18(8-20(40-14(3)31)28(22,36)12-39-13(2)30)17(10-37-26)11-38-27-25(42-16(5)33)24(41-15(4)32)23(35)19(9-29)43-27/h10,18-20,22-27,29,35-36H,6-9,11-12H2,1-5H3	null	CCCC(=O)OC1OC=C(COC2OC(CO)C(O)C(OC(C)=O)C2OC(C)=O)C2CC(OC(C)=O)C(O)(COC(C)=O)C12	-0.651675881906745	""	""	0	631.2246704101562	108.869	39_20230404_LFX_OK_226_VGF136_C08_1_neg_39
8	1	2	2	0.45899593463471755	-198.97019768768715	0.9999999999999999	80.24365386613287	C29H46O15	[M + CH2O2 - H]-	LAKIZCYKFBZYBV	InChI=1S/C29H46O15/c1-12(2)7-19(33)43-27-20-15(8-30)5-6-17(20)16(10-38-27)11-39-29-26(22(35)21(34)18(9-31)42-29)44-28-24(37)23(36)25(13(3)40-28)41-14(4)32/h10,12-13,15,17-18,20-31,34-37H,5-9,11H2,1-4H3	null	CC(=O)OC1C(C)OC(OC2C(OCC3=COC(OC(=O)CC(C)C)C4C(CO)CCC34)OC(CO)C(O)C2O)C(O)C1O	-0.4225320307205118	""	""	0	679.2820434570312	220.942	161_20230404_LFX_OK_226_VGF136_C08_1_neg_161
9	1	2	2	N/A	-335.4254727679625	0.9999999999999999	80.24365386613286	C30H48O17	[M - H]-	UGIAZMRSYPJDAZ	InChI=1S/C30H48O17/c1-12-7-14(32)8-29(3,4)30(12,41)6-5-13(2)44-27-24(39)22(37)19(34)16(46-27)10-42-26-23(38)20(35)17(11-43-26)47-28-25(40)21(36)18(33)15(9-31)45-28/h5-7,13,15-28,31,33-41H,8-11H2,1-4H3	null	CC1=CC(=O)CC(C1(C=CC(C)OC2C(C(C(C(O2)COC3C(C(C(CO3)OC4C(C(C(C(O4)CO)O)O)O)O)O)O)O)O)O)(C)C	-4.69999981	101625115;102277474;131752374	COCONUT:(CNP0133793);HMDB:(38449);Natural Products:(UNPD25012);PubChem:(101625115 102277474 131752374);2304_LOTUS_DNP:(Megastigmanes);PubChem class - bio and metabolites	18907146	679.2820434570312	220.942	161_20230404_LFX_OK_226_VGF136_C08_1_neg_161
10	1	1	1	0.457119666287099	-5.475137321361549	0.9999999999999999	20.99848803973038	C11H20O4	[M - H]-	LWBHHRRTOZQPDM	InChI=1S/C11H20O4/c12-10(13)8-6-4-2-1-3-5-7-9-11(14)15/h1-9H2,(H,12,13)(H,14,15)	bmse000847	C(CCCCC(=O)O)CCCCC(=O)O	2.61212873	15816;6992916;12400842;57459457	HMDB:(888);SuperNatural:(SN00002337 SN00232703);ZINC bio:(ZINC01593115);additional;PubMed;2304_LOTUS_DNP:(undecanedioic acid);NORMAN:(NS00002110);COCONUT:(CNP0292095 CNP0421436);Natural Products:(UNPD161504);PubChem:(15816 6992916 12400842 57459457);CHEBI:(73713);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set	87875690	215.1287841796875	150.536	86_20230404_LFX_OK_226_VGF136_C08_1_neg_86
