rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1	C20H32O5	[M - H]-	C20H32O5	0.9999999999999999	242.9927400423012	239.09811647120057	3.894623571100625	34	0.7365442172332491	1.0964121030691827	1.0996670672650786	-0.1318405318009214		351.21765	188.064	129_20230404_LFX_OK_226_VGF136_C08_1_neg_129
2	C20H30O6	[M - H]-	C20H30O6	0.9999999999999999	169.0499058382904	165.25477800113228	3.795127837158129	34	0.5499989166353487	0.30660580911980617	0.7569534571288067	-49318.19433651856		365.19669	170.227	107_20230404_LFX_OK_226_VGF136_C08_1_neg_107
3	C18H28O4	[M - H]-	C18H28O4	0.9999999999999999	156.87545302123914	153.22558951876778	3.649863502471369	24	0.6641950680504575	-0.5309756570165965	0.6630825728427061	0.6444975758397236		307.19168	221.484	162_20230404_LFX_OK_226_VGF136_C08_1_neg_162
4	C26H30O10	[M - H]-	C26H30O10	0.9999999999999999	144.31891235298372	135.77918507420847	8.539727278775251	33	0.7607088799901321	0.8992351177598994	0.8992351177598994	-0.5789210015174997		501.17633	132.193	60_20230404_LFX_OK_226_VGF136_C08_1_neg_60
5	C18H30O4	[M - H]-	C18H30O4	0.9999999999999999	143.50518029649356	139.6603496249049	3.8448306715886593	30	0.822153871723423	0.7040019933558348	0.7962622781908602	-58247.18889189424		309.20724	214.813	154_20230404_LFX_OK_226_VGF136_C08_1_neg_154
6	C18H30O5	[M - H]-	C18H30O5	0.9999999999999999	141.15508149551678	137.41939002191089	3.7356914736059044	36	0.7634289010447907	0.7815175171956267	0.7815175171956267	-0.34684128301529343		325.20193	178.632	116_20230404_LFX_OK_226_VGF136_C08_1_neg_116
7	C18H28O5	[M - H]-	C18H28O5	0.9999999999999999	127.29143675177714	123.58452352129595	3.706913230481198	22	0.4906872018138516	0.05107836263122009	0.5947626036818461	-0.2714516476933935		323.18631	164.053	102_20230404_LFX_OK_226_VGF136_C08_1_neg_102
8	C18H30O6	[M - H]-	C18H30O6	0.9999999999999999	127.26879576194038	123.53486076296429	3.7339349989760993	24	0.6818364281816309	-0.3753064625861756	0.6017368495741274	-52786.51535310493		341.19693	148.878	83_20230404_LFX_OK_226_VGF136_C08_1_neg_83
9	C17H36NO6	[M + Cl]-	C17H36NO6	0.9999999999999999	108.83645679812868	108.83645679812868	0.0	22	0.5379461298573011	-0.39404440971171223	0.6972133560692297	-0.23974276880999001		385.22357	133.43	67_20230404_LFX_OK_226_VGF136_C08_1_neg_67
10	C20H32O6	[M - H]-	C20H32O6	0.9999999999999999	107.72048589726325	103.86129906154812	3.8591868357151204	38	0.7502261013258745	0.24753936749220584	0.7146986199412687	-49047.206746898955		367.21243	175.935	109_20230404_LFX_OK_226_VGF136_C08_1_neg_109
11	C11H32N9O2S	[M - H]-	C11H32N9O2S	0.9999999999999999	107.46385826477017	107.33420155285253	0.12965671191762973	20	0.5813590026072345	0.8342361075525593	0.8342361075525593	0.7937523380446361		353.23297	177.014	112_20230404_LFX_OK_226_VGF136_C08_1_neg_112
12	C20H30O5	[M - H]-	C20H30O5	0.9999999999999999	106.42637460296037	102.57445741635946	3.8519171866009003	24	0.46745095468708364	-0.039669830884987614	0.5326780239574882	-0.58518073322983		349.20184	186.939	128_20230404_LFX_OK_226_VGF136_C08_1_neg_128
13	C18H28O4	[M - H]-	C18H28O4	0.9999999999999999	102.73248570713359	98.86146737340496	3.871018333728622	31	0.8763536088396057	-0.14854999393254997	0.40368173279869535	-0.24959653135326987		307.19141	191.439	132_20230404_LFX_OK_226_VGF136_C08_1_neg_132
14	C19H30O5	[M - H]-	C19H30O5	0.9999999999999999	94.07709875362572	90.24809014240799	3.8290086112177266	18	0.6533067722787375	0.45308522126510437	0.9938007803877029	-0.06299108627529776		337.20203	179.721	118_20230404_LFX_OK_226_VGF136_C08_1_neg_118
15	C17H24O2	[M + CH2O2 - H]-	C18H26O4	0.9999999999999999	92.62197545961348	89.90485676472541	2.717118694888075	19	0.5884073483917892	0.20035083317338725	0.4770325343550603	-0.26911537823830145		305.17575	202.71	143_20230404_LFX_OK_226_VGF136_C08_1_neg_143
16	C11H32N9O3S	[M - H]-	C11H32N9O3S	0.9999999999999999	87.44325022932603	87.44325022932603	0.0	30	0.8267065835436411	0.08953821390557928	0.5105877743707182	-97557.260723795		369.22787	156.683	94_20230404_LFX_OK_226_VGF136_C08_1_neg_94
