id	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#all classifications
115_20230404_LFX_OK_260_VGF136_F09_1_neg_115	C21H42N7O14P	[M - H]-	C21H42N7O14P	Carbohydrates	0.8010590076446533	Nucleosides	0.81612628698349	Purine nucleos(t)ides	0.8017600178718567	Purine ribonucleoside diphosphates	0.6429274678230286	Purine ribonucleoside diphosphates	0.6429274678230286	Purine ribonucleotides	0.7483771443367004	Purine nucleotides	0.9433901309967041	Nucleosides, nucleotides, and analogues	0.9787355065345764	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Imidazoles; Alcohols and polyols; Purines and purine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Nucleosides, nucleotides, and analogues; Organooxygen compounds; Amino acids and derivatives; Organic phosphoric acids and derivatives; Phosphate esters; Azoles; Organic oxoanionic compounds; Carboxylic acid derivatives; Carboxylic acids; Aminopyrimidines and derivatives; Diazines; Pentoses; Purine nucleotides; Monosaccharides; Monosaccharide phosphates; Purine ribonucleotides; Purine ribonucleoside monophosphates; Purine ribonucleoside diphosphates; Secondary alcohols; Imidazopyrimidines; Organic pyrophosphates; Carbonyl compounds; Glycosyl compounds; Glycosylamines; Pentose phosphates; Substituted imidazoles; N-substituted imidazoles; Amines; Primary amines; Tetrahydrofurans; 6-aminopurines; Alkyl phosphates; Monoalkyl phosphates; Imidolactams; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Amino acids; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
64_20230404_LFX_OK_260_VGF136_F09_1_neg_64	C10H18O4	[M - H]-	C10H18O4	Fatty acids	0.8934918642044067	Fatty Acids and Conjugates	0.957819402217865	Dicarboxylic acids	0.9750213623046875	Medium-chain fatty acids	0.9396601915359497	Medium-chain fatty acids	0.9396601915359497	Fatty acids and conjugates	0.9814718961715698	Fatty Acyls	0.978110134601593	Lipids and lipid-like molecules	0.9839247465133667	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Dicarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Medium-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
188_20230404_LFX_OK_260_VGF136_F09_1_neg_188	C20H42O6	[M - H4O2 - H]-	C20H38O4	Fatty acids	0.9138191938400269	Eicosanoids	0.9173523187637329	Prostaglandins	0.9157592058181763	Long-chain fatty acids	0.9607686996459961	Long-chain fatty acids	0.9607686996459961	Fatty acids and conjugates	0.9864150881767273	Fatty Acyls	0.9949483871459961	Lipids and lipid-like molecules	0.9945980310440063	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Fatty alcohols; Secondary alcohols; Polyols; Cyclopentanols; Long-chain fatty acids; Fatty Acyls; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
188_20230404_LFX_OK_260_VGF136_F09_1_neg_188	C20H40O5	[M - H2O - H]-	C20H38O4	Fatty acids	0.9138191938400269	Eicosanoids	0.9173523187637329	Prostaglandins	0.9157592058181763	Prostaglandins and related compounds	0.9861665964126587	Prostaglandins and related compounds	0.9861665964126587	Eicosanoids	0.9518175721168518	Fatty Acyls	0.9949483871459961	Lipids and lipid-like molecules	0.9945980310440063	Organic compounds; Lipids and lipid-like molecules; Ketones; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Hydroxy fatty acids; Eicosanoids; Prostaglandins and related compounds; Monocarboxylic acids and derivatives; Carboxylic acids; Cyclic alcohols and derivatives; Secondary alcohols; Carbonyl compounds; Cyclopentanols; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
163_20230404_LFX_OK_260_VGF136_F09_1_neg_163	C18H34O3	[M - H]-	C18H34O3	Fatty acids	0.9297388792037964	Octadecanoids	0.6682355999946594	Other Octadecanoids	0.707170307636261	Epoxy fatty acids	0.8835366368293762	Heterocyclic fatty acids	0.8604783415794373	Fatty acids and conjugates	0.9977053999900818	Fatty Acyls	0.9926032423973083	Lipids and lipid-like molecules	0.9925616383552551	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Epoxides; Ethers; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Monocarboxylic acids and derivatives; Dialkyl ethers; Carboxylic acids; Epoxy fatty acids; Carbonyl compounds; Heterocyclic fatty acids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
15_20230404_LFX_OK_260_VGF136_F09_1_neg_15	C14H14F3N5O6S	[M + Cl]-	C14H14F3N5O6S	Alkaloids	0.643500804901123	Pseudoalkaloids	0.676568329334259	pteridine alkaloids	0.07389357686042786	S-triazinyl-2-sulfonylureas	0.5600270628929138	S-triazinyl-2-sulfonylureas	0.5600270628929138	Sulfonylureas	0.6040754914283752	Organonitrogen compounds	0.9996591806411743	Organic nitrogen compounds	0.9999761581420898	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Benzenesulfonamides; Pyrimidines and pyrimidine derivatives; Triazines; Alkyl aryl ethers; Benzoic acids and derivatives; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organosulfonic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Sulfonylureas; Alkyl fluorides; Monocarboxylic acids and derivatives; Sulfonyls; Carboxylic acids; Organofluorides; Organosulfonamides; Aminotriazines; Benzene and substituted derivatives; Benzenoids; Amines; Tertiary amines; Tertiary alkylarylamines; Benzoic acids; Alkyl halides; N-aliphatic s-triazines; Aminosulfonyl compounds; Dialkylarylamines; Organic oxides; 1,3,5-triazines; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Trifluoromethylbenzenes; Organopnictogen compounds; Organic oxygen compounds; Alkoxy-S-triazines; S-triazinyl-2-sulfonylureas; Organic nitrogen compounds; Chemical entities
172_20230404_LFX_OK_260_VGF136_F09_1_neg_172	C17H30N6O4	[M - H]-	C17H30N6O4	Carbohydrates	0.6097102761268616	Nucleosides	0.604049563407898	Purine nucleos(t)ides	0.40126264095306396	Alpha amino acids and derivatives	0.6366628408432007	Amino acids and derivatives	0.9293246865272522	Amino acids, peptides, and analogues	0.9327915906906128	Carboxylic acids and derivatives	0.9833791851997375	Organic acids and derivatives	0.9964693784713745	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Azoles; Monoalkylamines; Carboxylic acid amides; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Diazines; Secondary carboxylic acid amides; Carbonyl compounds; Amines; Primary amines; Imidolactams; Fatty Acyls; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
212_20230404_LFX_OK_260_VGF136_F09_1_neg_212	C24H44O3	[M - H]-	C24H44O3	Fatty acids	0.9027799963951111	Fatty Acids and Conjugates	0.7263428568840027	Unsaturated fatty acids	0.5035181641578674	Very long-chain fatty acids	0.8505770564079285	Very long-chain fatty acids	0.8505770564079285	Fatty acids and conjugates	0.9954375624656677	Fatty Acyls	0.9936508536338806	Lipids and lipid-like molecules	0.9921531081199646	Organic compounds; Lipids and lipid-like molecules; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Carbonyl compounds; Long-chain fatty acids; Very long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
33_20230404_LFX_OK_260_VGF136_F09_1_neg_33	C21H17N3O8S3	[M - H]-	C21H17N3O8S3	Amino acids and Peptides	0.20308668911457062	β-lactams	0.6112139821052551	Cephalosporins	0.6146246790885925	Alpha amino acids and derivatives	0.5702006220817566	Amino acids and derivatives	0.6842562556266785	Amino acids, peptides, and analogues	0.6863278746604919	Carboxylic acids and derivatives	0.9362384080886841	Organic acids and derivatives	0.999962329864502	Organic compounds; Organoheterocyclic compounds; Organosulfur compounds; Amino acids, peptides, and analogues; Benzenesulfonic acids and derivatives; Sulfobenzoic acids; Alpha amino acids and derivatives; Benzoic acids and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organosulfonic acids and derivatives; Organonitrogen compounds; Benzoyl derivatives; Organooxygen compounds; Amino acids and derivatives; Azo compounds; Carboxylic acid derivatives; Sulfonyls; Organosulfonic acids; Carboxylic acids; Carbonyl compounds; Arylsulfonic acids and derivatives; Benzene and substituted derivatives; Benzenoids; Benzoic acids; Arylsufonic acids; 1-sulfo,2-unsubstituted aromatic compounds; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Benzenesulfonyl compounds; Organic sulfonic acids and derivatives; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities
198_20230404_LFX_OK_260_VGF136_F09_1_neg_198	C22H40O3	[M - H]-	C22H40O3	Fatty acids	0.7762512564659119	Fatty Acids and Conjugates	0.725692629814148	Oxo fatty acids	0.6556283235549927	Very long-chain fatty acids	0.5293934941291809	Very long-chain fatty acids	0.5293934941291809	Fatty acids and conjugates	0.9929918050765991	Fatty Acyls	0.9832757711410522	Lipids and lipid-like molecules	0.9767150282859802	Organic compounds; Lipids and lipid-like molecules; Ketones; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Acryloyl compounds; Organooxygen compounds; Branched fatty acids; Unsaturated fatty acids; Keto fatty acids; Monocarboxylic acids and derivatives; Carboxylic acids; Enones; Carbonyl compounds; Long-chain fatty acids; Very long-chain fatty acids; Alpha,beta-unsaturated carbonyl compounds; Alpha,beta-unsaturated ketones; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities
119_20230404_LFX_OK_260_VGF136_F09_1_neg_119	C18H32O4	[M - H]-	C18H32O4	Fatty acids	0.9346250295639038	Octadecanoids	0.9743992686271667	Other Octadecanoids	0.9877481460571289	Lineolic acids and derivatives	0.896050214767456			Lineolic acids and derivatives	0.896050214767456	Fatty Acyls	0.9986554384231567	Lipids and lipid-like molecules	0.9989849925041199	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Fatty acids and conjugates; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Unsaturated fatty acids; Hydroperoxy fatty acids; Hydroxy fatty acids; Lineolic acids and derivatives; Monocarboxylic acids and derivatives; Carboxylic acids; Organic hydroperoxides; Secondary alcohols; Carbonyl compounds; Peroxols; Long-chain fatty acids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Alkyl hydroperoxides; Allylic hydroperoxides; Organic oxygen compounds; Chemical entities
