rank	formulaRank	#adducts	#predictedFPs	ConfidenceScore	CSI:FingerIDScore	ZodiacScore	SiriusScore	molecularFormula	adduct	InChIkey2D	InChI	name	smiles	xlogp	pubchemids	links	dbflags	ionMass	retentionTimeInSeconds	id
1	1	3	3	0.9701953784636832	-73.47986619164361	0.9999999999999999	28.944357493126976	C38H48O17	[M - H]-	ZDVZREKHSBSLHD	InChI=1S/C38H48O17/c1-46-23-8-17(6-7-22(23)54-38-34(45)33(44)32(43)29(14-40)55-38)30(41)28(13-39)53-37-26(49-4)11-19(12-27(37)50-5)36-21-16-51-35(20(21)15-52-36)18-9-24(47-2)31(42)25(10-18)48-3/h6-12,20-21,28-30,32-36,38-45H,13-16H2,1-5H3	null	COc1cc(C(O)C(CO)Oc2c(OC)cc(C3OCC4C(c5cc(OC)c(O)c(OC)c5)OCC34)cc2OC)ccc1OC1OC(CO)C(O)C(O)C1O	1.1425359513700117	""	""	0	775.2821655273438	116.966	52_20230404_LFX_OK_260_VGF136_F09_1_neg_52
2	1	1	1	0.9066398553717282	-465.7402502964763	0.9999999999999999	0.9076150911437595	C32H24F3N3O6	[M + Cl]-	OWNQZZTXPWICRQ	InChI=1S/C32H24F3N3O6/c1-43-24-13-6-21(7-14-24)30(42)44-25-11-2-19(3-12-25)16-17-38-27-15-8-22(29(40)41)18-26(27)36-31(38)37-28(39)20-4-9-23(10-5-20)32(33,34)35/h2-15,18H,16-17H2,1H3,(H,40,41)(H,36,37,39)	null	COC1=CC=C(C=C1)C(=O)OC2=CC=C(C=C2)CCN3C4=C(C=C(C=C4)C(=O)O)N=C3NC(=O)C5=CC=C(C=C5)C(F)(F)F	6.30000019	56676725	PubChem:(56676725);PubMed;CHEBI:(94294)	98	638.1304931640625	73.208	30_20230404_LFX_OK_260_VGF136_F09_1_neg_30
3	1	1	1	0.6600985876352702	-2.0704603364844862	0.9999999999999999	48.89222162205051	C9H16O4	[M - H]-	BDJRBEYXGGNYIS	InChI=1S/C9H16O4/c10-8(11)6-4-2-1-3-5-7-9(12)13/h1-7H2,(H,10,11)(H,12,13)	Acnederm	C(CCCC(=O)O)CCCC(=O)O	1.71370327	2266;3801344;19347555;56933547;72735488;71309726;87110957	HMDB:(784);PubChem class - food;SuperNatural:(SN00386191 SN00002167);ZINC bio:(ZINC01531036);additional;HSDB:(123-99-9);MeSH:(2266);Plantcyc:(CPD0-1265);PubMed;2304_LOTUS_DNP:(azelaic acid);NORMAN:(NS00011498);COCONUT:(CNP0086335 CNP0225848);KNApSAcK:(45634);Natural Products:(UNPD104030);PubChem:(2266 3801344 19347555 56933547 72735488 71309726 87110957);CHEBI:(48131 78208);PubChem class - bio and metabolites;KEGG:(C08261);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD0-1265)	255781758	187.097412109375	107.105	46_20230404_LFX_OK_260_VGF136_F09_1_neg_46
4	1	1	1	0.6401306300140883	-4.135715882097556	0.9999999999999999	44.10988684883038	C8H14O4	[M - H]-	TYFQFVWCELRYAO	InChI=1S/C8H14O4/c9-7(10)5-3-1-2-4-6-8(11)12/h1-6H2,(H,9,10)(H,11,12)	suberate	C(CCCC(=O)O)CCC(=O)O	1.26449049	10457;5249080;10035160;22494956;56933546;92043315;102602162	HMDB:(893);SuperNatural:(SN00375156 SN00002171);ZINC bio:(ZINC01531046);2212_Arabidopsis_LOTUS:(Arabidopsis_compound_361);additional;MeSH:(10457);Plantcyc:(CPD0-1264);PubMed;2304_LOTUS_DNP:(suberic acid);NORMAN:(NS00015186);COCONUT:(CNP0174114 CNP0210905 CNP0293782);KNApSAcK:(1204);Natural Products:(UNPD12255);PubChem:(10457 5249080 10035160 22494956 56933546 92043315 102602162);CHEBI:(76282 9300);PubChem class - bio and metabolites;KEGG:(C08278);PubChem class - safety and toxic;Training Set;Biocyc:(CPD0-1264)	88009086	173.08192443847656	84.828	35_20230404_LFX_OK_260_VGF136_F09_1_neg_35
5	1	1	1	0.5984317045307674	-10.539465823083475	0.9999999999999999	93.36357595386133	C20H20O11	[M - H]-	UKSPRKDZNYSFRL	InChI=1S/C20H20O11/c21-8-4-11(24)14-13(5-8)30-18(7-1-2-9(22)10(23)3-7)19(16(14)27)31-20-17(28)15(26)12(25)6-29-20/h1-5,12,15,17-26,28H,6H2	Taxifolin 3-O-beta-D-xylopyranoside	C1C(C(C(C(O1)OC2C(OC3=CC(=CC(=C3C2=O)O)O)C4=CC(=C(C=C4)O)O)O)O)O	0.0	493319;5317364;10342967;21629836;21629837;21629838;22524222;24868366;24868443;72193666;72551436;72551441;72551444;75202406;101504843;101793314;100927068;124584028;124931058;124931059;124931060	COCONUT:(CNP0153923);KNApSAcK:(8694);Natural Products:(UNPD137746 UNPD7560 UNPD83244 UNPD18366 UNPD133419 UNPD219089 UNPD48481 UNPD106081 UNPD6995 UNPD75802 UNPD206466 UNPD140375);PubChem:(493319 5317364 10342967 21629836 21629837 21629838 22524222 24868366 24868443 72193666 72551436 72551441 72551444 75202406 101504843 101793314 100927068 124584028 124931058 124931059 124931060);SuperNatural:(SN00390143 SN00287468 SN00370840 SN00248692 SN00143645 SN00287246 SN00254311 SN00293055 SN00228882 SN00329022 SN00166104 SN00391349);CHEBI:(75739 75749 75748 75741 75746 75744 75743);Training Set;PubMed;2304_LOTUS_DNP:(Dihydroflavonols)	3194994	435.0929260253906	78.233	32_20230404_LFX_OK_260_VGF136_F09_1_neg_32
6	1	4	4	0.4613902380077322	-5.458242380790245	0.9999999999999999	82.74896397907953	C12H20O5	[M - H]-	HHXMOTDTSDYYEI	InChI=1S/C12H20O5/c13-10(8-9-12(16)17)6-4-2-1-3-5-7-11(14)15/h1-9H2,(H,14,15)(H,16,17)	4-Oxododecanedioic acid	C(CCCC(=O)CCC(=O)O)CCCC(=O)O	1.10000002	13213508	COCONUT:(CNP0028737 CNP0151133);Natural Products:(UNPD16991);PubChem:(13213508);SuperNatural:(SN00034246);ZINC bio:(ZINC35465466);additional;Training Set;2304_LOTUS_DNP:(4-oxododecanedioic acid)	3727362	243.12364196777344	109.556	48_20230404_LFX_OK_260_VGF136_F09_1_neg_48
7	1	1	1	0.4589519336041109	-3.58456629179915	0.9999999999999999	23.338270696680105	C11H20O4	[M - H]-	LWBHHRRTOZQPDM	InChI=1S/C11H20O4/c12-10(13)8-6-4-2-1-3-5-7-9-11(14)15/h1-9H2,(H,12,13)(H,14,15)	bmse000847	C(CCCCC(=O)O)CCCCC(=O)O	2.61212873	15816;6992916;12400842;57459457	HMDB:(888);SuperNatural:(SN00002337 SN00232703);ZINC bio:(ZINC01593115);additional;PubMed;2304_LOTUS_DNP:(undecanedioic acid);NORMAN:(NS00002110);COCONUT:(CNP0292095 CNP0421436);Natural Products:(UNPD161504);PubChem:(15816 6992916 12400842 57459457);CHEBI:(73713);PubChem class - bio and metabolites;PubChem class - safety and toxic;Training Set	87875690	215.1287384033203	150.53	79_20230404_LFX_OK_260_VGF136_F09_1_neg_79
8	1	1	1	0.4486996134911255	-4.103044920790186	0.9999999999999999	33.26230561476988	C10H18O4	[M - H]-	CXMXRPHRNRROMY	InChI=1S/C10H18O4/c11-9(12)7-5-3-1-2-4-6-8-10(13)14/h1-8H2,(H,11,12)(H,13,14)	sebacate	C(CCCCC(=O)O)CCCC(=O)O	2.16291595	5192;1549016;10465569;23079045;56933548;71309007;90755858;102601074	HMDB:(792);PubChem class - food;SuperNatural:(SN00307005 SN00002170);ZINC bio:(ZINC01531045);additional;MeSH:(5192);PubMed;2304_LOTUS_DNP:(sebacic acid);NORMAN:(NS00011501);COCONUT:(CNP0082571 CNP0311812);KNApSAcK:(1202);Natural Products:(UNPD70014);PubChem:(5192 1549016 10465569 23079045 56933548 71309007 90755858 102601074);CHEBI:(41865 76283);PubChem class - bio and metabolites;KEGG:(C08277);PubChem class - safety and toxic;Training Set;Biocyc:(CPD-3623)	222095742	201.11314392089844	129.368	64_20230404_LFX_OK_260_VGF136_F09_1_neg_64
9	1	4	4	0.44400923112030655	-3.903073933445132	0.9999999999999999	32.20259326868894	C15H12O4	[M - H]-	URFCJEUYXNAHFI	InChI=1S/C15H12O4/c16-10-6-11(17)15-12(18)8-13(19-14(15)7-10)9-4-2-1-3-5-9/h1-7,13,16-17H,8H2	Pinocembrin	C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=CC=C3	2.70000005	68071;667544;238782;25200438	HMDB:(30808 141337);SuperNatural:(SN00000229 SN00000985);ZINC bio:(ZINC00004935 ZINC00073693);2212_Arabidopsis_LOTUS:(Arabidopsis_compound_906);additional;MeSH:(68071 238782);Plantcyc:(CPD-6991);PubMed;2304_LOTUS_DNP:(pinocembrine);COCONUT:(CNP0175595);KNApSAcK:(992);Natural Products:(UNPD5878 UNPD125457);PubChem:(68071 667544 238782 25200438);CHEBI:(28157);PubChem class - bio and metabolites;KEGG:(C09827);PubChem class - safety and toxic;Training Set;PubChem class - drug;Biocyc:(CPD-6991)	121301374	255.0663299560547	194.012	105_20230404_LFX_OK_260_VGF136_F09_1_neg_105
10	1	4	4	0.41803003809453054	-7.473426189425337	0.9999999999999999	137.16538411785461	C20H22O7	[M - H]-	ZITBJWXLODLDRH	InChI=1S/C20H22O7/c1-25-17-8-12(3-5-15(17)21)7-14-11-27-19(23)20(14,24)10-13-4-6-16(22)18(9-13)26-2/h3-6,8-9,14,21-22,24H,7,10-11H2,1-2H3	Wikstromol	COC1=C(C=CC(=C1)CC2COC(=O)C2(CC3=CC(=C(C=C3)O)OC)O)O	2.5	99938;321311;394846;479756;14159539;118680546;126593347;137704577	HMDB:(30598);SuperNatural:(SN00002447 SN00002449 SN00002448 SN00001865);ZINC bio:(ZINC00900254 ZINC01667453 ZINC01667454 ZINC01667455);additional;MeSH:(99938 321311 394846 479756 126593347);PubMed;2304_LOTUS_DNP:(nortrachelogenin);COCONUT:(CNP0166172);KNApSAcK:(599);Natural Products:(UNPD65605 UNPD117015 UNPD16877 UNPD127303);PubChem:(99938 321311 394846 479756 14159539 118680546 126593347 137704577);CHEBI:(7639);PubChem class - bio and metabolites;KEGG:(C10725);PubChem class - safety and toxic;Training Set	87613822	373.1289978027344	125.171	62_20230404_LFX_OK_260_VGF136_F09_1_neg_62
