rank	molecularFormula	adduct	precursorFormula	ZodiacScore	SiriusScore	TreeScore	IsotopeScore	numExplainedPeaks	explainedIntensity	medianMassErrorFragmentPeaks(ppm)	medianAbsoluteMassErrorFragmentPeaks(ppm)	massErrorPrecursor(ppm)	lipidClass	ionMass	retentionTimeInSeconds	id
1	C18H28O4	[M - H]-	C18H28O4	0.9999999999999999	157.5095132313321	153.68001725113197	3.829495980200137	25	0.7830228263461377	1.073686219739417	1.073686219739417	-0.4482843278518218		307.19135	191.723	103_20230404_LFX_OK_260_VGF136_F09_1_neg_103
2	C20H24O8	[M - H2O - H]-	C20H22O7	0.9999999999999999	137.16538411785464	130.7752437036063	6.390140414248346	29	0.8174764939364084	0.975492649370716	0.975492649370716	-48269.750084385196		373.12900	125.171	62_20230404_LFX_OK_260_VGF136_F09_1_neg_62
2	C20H26O9	[M - H4O2 - H]-	C20H22O7	0.9999999999999999	137.16538411785464	130.7752437036063	6.390140414248346	29	0.8174764939364084	0.975492649370716	0.975492649370716	-96538.75300310712		373.12900	125.171	62_20230404_LFX_OK_260_VGF136_F09_1_neg_62
3	C18H32O6	[M - H2O - H]-	C18H30O5	0.9999999999999999	134.20278389211455	130.38786198360978	3.814921908504782	21	0.43826543833161075	1.2496317184992403	1.2496317184992403	-55382.9585300608		325.20197	156.959	81_20230404_LFX_OK_260_VGF136_F09_1_neg_81
3	C18H34O7	[M - H4O2 - H]-	C18H30O5	0.9999999999999999	134.20278389211455	130.38786198360978	3.814921908504782	21	0.43826543833161075	1.2496317184992403	1.2496317184992403	-110765.66406079536		325.20197	156.959	81_20230404_LFX_OK_260_VGF136_F09_1_neg_81
4	C18H30O5	[M - H2O - H]-	C18H28O4	0.9999999999999999	107.9260452152748	104.12883677642996	3.797208438844839	22	0.5523431177218993	0.44482823087741075	0.6526433821688897	-58630.13514798573		307.19138	227.706	126_20230404_LFX_OK_260_VGF136_F09_1_neg_126
4	C18H32O6	[M - H4O2 - H]-	C18H28O4	0.9999999999999999	107.9260452152748	104.12883677642996	3.797208438844839	22	0.5523431177218993	0.44482823087741075	0.6526433821688897	-117259.92135555175		307.19138	227.706	126_20230404_LFX_OK_260_VGF136_F09_1_neg_126
5	C16H24O5	[M - H]-	C16H24O5	0.9999999999999999	102.80795017473353	99.0563190934003	3.7516310813332248	16	0.9405271668130403	0.08393651999036869	0.22539586851582535	0.0793945226818513		295.15512	185.391	98_20230404_LFX_OK_260_VGF136_F09_1_neg_98
6	C20H20O11	[M - H]-	C20H20O11	0.9999999999999999	93.36357595386133	86.89893248010915	6.464643473752171	25	0.8768289652171245	0.44617015263814813	0.6435305098173456	-0.8250709155677439		435.09293	78.233	32_20230404_LFX_OK_260_VGF136_F09_1_neg_32
7	C18H30O3	[M - H]-	C18H30O3	0.9999999999999999	88.70702499490285	85.03847181201887	3.668553182883985	20	0.6788706583620855	0.6543694225210283	0.6802538453582192	-0.20519198384496162		293.21216	278.38	156_20230404_LFX_OK_260_VGF136_F09_1_neg_156
8	C18H32O5	[M - H]-	C18H32O5	0.9999999999999999	84.29217241208808	80.38428955056531	3.907882861522768	16	0.5825561743242302	0.11057244318468609	0.4564929333170812	0.13828104807859604		327.21774	155.773	80_20230404_LFX_OK_260_VGF136_F09_1_neg_80
9	C12H20O5	[M - H]-	C12H20O5	0.9999999999999999	82.74896397907953	77.17255033027261	5.576413648806923	12	0.8014224097269644	-0.02007923251993838	0.6986049013242681	-0.6388524569037568		243.12364	109.556	48_20230404_LFX_OK_260_VGF136_F09_1_neg_48
9	C12H22O6	[M - H2O - H]-	C12H20O5	0.9999999999999999	82.74896397907953	77.17255033027261	5.576413648806923	13	0.8014224097269644	-0.02007923251993838	0.6986049013242681	-74080.49607336581		243.12364	109.556	48_20230404_LFX_OK_260_VGF136_F09_1_neg_48
9	C12H24O7	[M - H4O2 - H]-	C12H20O5	0.9999999999999999	82.74896397907953	77.17255033027261	5.576413648806923	13	0.8014224097269644	-0.02007923251993838	0.6986049013242681	-148160.35329427445		243.12364	109.556	48_20230404_LFX_OK_260_VGF136_F09_1_neg_48
10	C17H30N6O4	[M - H]-	C17H30N6O4	0.9999999999999999	80.28849104075078	74.63172492289566	5.6567661178551285	16	0.6409976740514446	0.42257262311421706	0.7418630125841199	0.7439363983155423		381.22586	299.352	175_20230404_LFX_OK_260_VGF136_F09_1_neg_175
11	C18H30O6	[M - H4O2 - H]-	C18H26O4	0.9999999999999999	79.17792954663643	75.94404420680917	3.233885339827269	16	0.49879430793374563	-0.40675253696700575	0.7356304849682681	-118034.20582841375		305.17578	201.994	109_20230404_LFX_OK_260_VGF136_F09_1_neg_109
11	C18H28O5	[M - H2O - H]-	C18H26O4	0.9999999999999999	79.17792954663643	75.94404420680917	3.233885339827269	16	0.49879430793374563	-0.40675253696700575	0.7356304849682681	-59017.18747188243		305.17578	201.994	109_20230404_LFX_OK_260_VGF136_F09_1_neg_109
12	C25H32O12	[M - H]-	C25H32O12	0.9999999999999999	77.2711168318916	73.34997789499694	3.921138936894669	14	0.7212123736859027	0.8336199191301867	1.043831528431399	0.28855079247923815		523.18225	129.661	65_20230404_LFX_OK_260_VGF136_F09_1_neg_65
12	C25H34O13	[M - H2O - H]-	C25H32O12	0.9999999999999999	77.2711168318916	73.34997789499694	3.921138936894669	15	0.7212123736859027	0.8336199191301867	1.043831528431399	-34424.74144665467		523.18225	129.661	65_20230404_LFX_OK_260_VGF136_F09_1_neg_65
12	C25H36O14	[M - H4O2 - H]-	C25H32O12	0.9999999999999999	77.2711168318916	73.34997789499694	3.921138936894669	15	0.7212123736859027	0.8336199191301867	1.043831528431399	-68849.77144410161		523.18225	129.661	65_20230404_LFX_OK_260_VGF136_F09_1_neg_65
13	C18H34O4	[M - H]-	C18H34O4	0.9999999999999999	74.4048909632662	68.36822736271685	6.036663600549348	14	0.9767848583400456	0.6501133033708586	0.9548434050469077	-0.1925472110710259		313.23837	296.151	171_20230404_LFX_OK_260_VGF136_F09_1_neg_171
14	C18H36O6	[M - H2O - H]-	C18H34O5	0.9999999999999999	69.74519415942632	61.599489681149684	8.145704478276633	13	0.883392990604788	-0.4074857257315039	0.49291733998571174	-54705.17743420763		329.23315	167.671	83_20230404_LFX_OK_260_VGF136_F09_1_neg_83
14	C18H38O7	[M - H4O2 - H]-	C18H34O5	0.9999999999999999	69.74519415942632	61.599489681149684	8.145704478276633	13	0.883392990604788	-0.4074857257315039	0.49291733998571174	-109409.76732420277		329.23315	167.671	83_20230404_LFX_OK_260_VGF136_F09_1_neg_83
15	C18H30O5	[M - H]-	C18H30O5	0.9999999999999999	68.75107346283983	64.96440439901309	3.7866690638267393	12	0.26709170809165633	1.4816177751258746	1.4816177751258746	0.40389387645536945		325.20218	180.291	91_20230404_LFX_OK_260_VGF136_F09_1_neg_91
16	C15H24O4	[M - H]-	C15H24O4	0.9999999999999999	66.25298745286447	62.46092510932546	3.792062343539015	11	0.7263247177640529	0.18524657582355558	0.9570765027309057	-0.3278224079201007		267.16010	136.477	72_20230404_LFX_OK_260_VGF136_F09_1_neg_72
16	C15H26O5	[M - H2O - H]-	C15H24O4	0.9999999999999999	66.25298745286447	62.46092510932546	3.792062343539015	12	0.7263247177640529	0.18524657582355558	0.9570765027309057	-67415.20379599338		267.16010	136.477	72_20230404_LFX_OK_260_VGF136_F09_1_neg_72
16	C15H28O6	[M - H4O2 - H]-	C15H24O4	0.9999999999999999	66.25298745286447	62.46092510932546	3.792062343539015	12	0.7263247177640529	0.18524657582355558	0.9570765027309057	-134830.07976957885		267.16010	136.477	72_20230404_LFX_OK_260_VGF136_F09_1_neg_72
17	C18H32O4	[M - H]-	C18H32O4	0.9999999999999999	64.10662492496627	60.427280335335546	3.679344589630724	26	0.8312825662344353	0.6969753838156306	0.7879049499431883	-0.995774421680829		311.22247	232.634	128_20230404_LFX_OK_260_VGF136_F09_1_neg_128
18	C18H32O5	[M - H2O - H]-	C18H30O4	0.9999999999999999	62.81676028902571	58.89257083812043	3.924189450905283	21	0.8633964711740337	-0.5343158189163484	0.6542322691866422	-58247.6066719372		309.20712	212.462	117_20230404_LFX_OK_260_VGF136_F09_1_neg_117
18	C18H34O6	[M - H4O2 - H]-	C18H30O4	0.9999999999999999	62.81676028902571	58.89257083812043	3.924189450905283	21	0.8633964711740337	-0.5343158189163484	0.6542322691866422	-116495.18040422241		309.20712	212.462	117_20230404_LFX_OK_260_VGF136_F09_1_neg_117
19	C18H32O4	[M - H]-	C18H32O4	0.9999999999999999	62.61082378701764	58.94219280458209	3.6686309824355434	22	0.8352196764866944	0.2318709745704533	0.5512392177116308	-0.8977172177366171		311.22250	277.969	155_20230404_LFX_OK_260_VGF136_F09_1_neg_155
20	C14H33NO5P	[M - H]-	C14H33NO5P	0.9999999999999999	62.495284149399886	60.49702743715725	1.9982567122426333	14	0.3184671050225121	0.2157298093522818	0.8477546929976415	0.10530124095128057		325.20239	190.562	102_20230404_LFX_OK_260_VGF136_F09_1_neg_102
21	C18H30O4	[M - H]-	C18H30O4	0.9999999999999999	61.72373208505783	57.926438247641386	3.7972938374164475	16	0.7265857293504799	0.3676629613708592	0.7636756816316308	0.559237412442587		309.20731	255.157	143_20230404_LFX_OK_260_VGF136_F09_1_neg_143
